Country Name,Country Code,Series Name,year_T6,values_T6
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/1991,43.256
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/1992,43.244
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/1993,43.207
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/1994,43.162
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/1995,43.125
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/1996,43.071
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/1997,43.031
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/1998,43.007
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/1999,43.003
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2000,43.007
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2001,43.041
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2002,43.098
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2003,43.164
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2004,43.235
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2005,43.311
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2006,43.259
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2007,43.216
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2008,43.178
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1/1/2009,43.153
