Country Name,Country Code,Series Name,year_T21,values_T21
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/1991,7.946
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/1992,7.94
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/1993,7.961
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/1994,7.98
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/1995,7.967
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/1996,7.941
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/1997,7.92
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/1998,7.941
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/1999,7.953
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2000,7.955
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2001,7.958
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2002,7.939
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2003,7.922
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2004,7.914
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2005,7.914
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2006,7.918
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2007,7.908
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2008,7.92
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2009,7.914
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1/1/2010,7.914
